post_id,date,url,title_first_line,topic,subtopic,deity_archetype,place,ritual_practice,initiation_stage,cosmology,calendar_time,historical_material,mythology,author_interpretation,therapeutic_archetypal_interpretation,knowledge_level,duplicate_of,series_id,included_in_chapter
205,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/205,ЭЛИТНЫЕ ВОЕННЫЕ КЛАНЫ МАЙЯ,Maya tradition,,,майя,ritual/practice,,cosmology,,,,,,,,,
206,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/206,КИНИЧ АХАУ.,Maya tradition,,,майя,,,,,,,,,,,,
207,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/207,ДВОЙНИКИ ЧЕЛОВЕКА В ТРАДИЦИИ МАЙЯ,Maya tradition,,,майя,,,,,,,,,,,,
208,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/208,ДВОЙНИКИ ЧЕЛОВЕКА.,Maya tradition,shamanism,,майя,ritual/practice,,,,,,,,,,,
209,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/209,ЭГРЕГОР МАЙЯ.,Maya tradition,,,майя,ritual/practice,,cosmology,,,,,,,,,
210,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/210,ЭНЕРГИИ МАЙЯ.,Maya tradition,,,майя,,,,,,,,,,,,
211,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/211,"2 года назад написал заметку. Возможно, можно повторить.",Maya tradition,,,майя; ацтек,,,cosmology,,,mythology,,,,,,
212,11.02.2025 21:03:15 UTC-05:00,https://t.me/mayaismagic/212,#5. ТРАДИЦИЯ МАЙЯ.,Maya tradition,,,майя,,,cosmology,,,,,,,,,
213,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/213,СИЛА СОЛНЦА -  КУЛЬТУРА МАЙЯ,Maya tradition,,,майя,,,,,,,,,,,,
214,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/214,НАСТРОЙКА.,,,,ацтек,,,,,,,,,,,,
215,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/215,,,,,,,,,,,,,,,,,
216,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/216,ЭНЕРГИИ МАЙЯ,Maya tradition,,чак,майя,,initiation,,,,,,therapeutic/archetypal,,,,
217,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/217,ЭНЕРГИИ МАЙЯ,Maya tradition,,чак,майя,ritual/practice,,,,,,,,,,,
218,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/218,ИшМук'ане.,Maya tradition,,,майя,,,,,,,,,,,,
219,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/219,АРХЕТИПИЧЕСКАЯ ТЕРАПИЯ,Maya tradition,,,майя,ritual/practice,initiation,,,,,,therapeutic/archetypal,,,,
220,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/220,СИЛА РОДА - ТРАДИЦИЯ МАЙЯ,Maya tradition,,,майя,,,,,,,,,,,,
221,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/221,"БАЛУН Ч""УЛ (9 СИЛ).",,,,,,,,,,,,,,,,
222,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/222,Часть 2.,Maya tradition,,,майя,,,,,,,,therapeutic/archetypal,,,,
223,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/223,"Я, как психотерапевт, в концепции Шибальбы - вижу четкое соответствие 9ти миров - 9ти уровням травматизации психики человека.",Maya tradition,,,майя,,,,,,,,therapeutic/archetypal,,,,
224,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/224,МИСТЕРИИ ШИБАЛЬБЫ,Maya tradition,,,майя,ritual/practice,initiation,,,,mythology,,therapeutic/archetypal,,,,
225,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/225,МИСТЕРИИ МАЙЯ,Maya tradition,,,майя,,,,,,,,therapeutic/archetypal,,,,
226,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/226,Программа: «Сила Рода – Поддержка Предков»,Maya tradition,,,майя,ritual/practice,,,,,,,therapeutic/archetypal,,,,
227,11.02.2025 21:03:16 UTC-05:00,https://t.me/mayaismagic/227,СИЛА ПРЕДКОВ,Maya tradition,shamanism,,майя,ritual/practice,,,,,,,,,,,
228,02.03.2025 13:15:46 UTC-05:00,https://t.me/mayaismagic/228,"Акустический эффект, называемый ""хвост Кетцаля"", возникает, когда кто-то издает импульсивный звук, аплодисменты или игру на ударном инструменте перед ступенью пирамиды. Если мы сделаем пощечину около 40 метров на перпендикуляре лестницы, мы услышим резкий звук, странный писк, звук, похожий на пение кетцаля, священной птицы майя.",Maya tradition,,,майя,,,,,,,,,,,,
229,05.03.2025 16:55:03 UTC-05:00,https://t.me/mayaismagic/229,https://www.facebook.com/share/r/15vE6CG9oQ/,,,,,,,,,,,,,,,,
230,05.03.2025 16:55:04 UTC-05:00,https://t.me/mayaismagic/230,Сапотеки. Монте Альбан. Алтарь.,,,,,ritual/practice,,,,,,,,,,,
231,05.03.2025 16:55:04 UTC-05:00,https://t.me/mayaismagic/231,,,,,,,,,,,,,,,,,
232,05.03.2025 16:55:05 UTC-05:00,https://t.me/mayaismagic/232,,,,,,,,,,,,,,,,,
233,05.03.2025 16:55:05 UTC-05:00,https://t.me/mayaismagic/233,,,,,,,,,,,,,,,,,
234,05.03.2025 17:09:54 UTC-05:00,https://t.me/mayaismagic/234,Бог Солнце сапотеков.,,,,,,,,,,,,,,,,
235,05.03.2025 17:10:50 UTC-05:00,https://t.me/mayaismagic/235,Солнечный календарь сапотеков.,,,,,,,,calendar,,,,,,,,
238,05.03.2025 17:19:41 UTC-05:00,https://t.me/mayaismagic/238,,,,,,,,,,,,,,,,,
239,05.03.2025 17:19:44 UTC-05:00,https://t.me/mayaismagic/239,,,,,,,,,,,,,,,,,
240,14.03.2025 17:44:23 UTC-05:00,https://t.me/mayaismagic/240,Интересно. Вот мини изображение врат Храма ацтеков? город Чалула.,Maya tradition,,,майя; ацтек,,,,,,,,,,,,
241,14.03.2025 17:51:28 UTC-05:00,https://t.me/mayaismagic/241,"Ацтекские энергии, орнаменты, мотивы.",,,,ацтек,,,,,,,,,,,,
242,14.03.2025 17:51:29 UTC-05:00,https://t.me/mayaismagic/242,,,,,,,,,,,,,,,,,
243,14.03.2025 17:59:15 UTC-05:00,https://t.me/mayaismagic/243,Эхекатль.,,,,ацтек,,,,,,,,,,,,
244,14.03.2025 17:59:16 UTC-05:00,https://t.me/mayaismagic/244,,,,,,,,,,,,,,,,,
245,18.03.2025 19:15:12 UTC-05:00,https://t.me/mayaismagic/245,Тескатліпо́ка (ісп. Tezcatlipoca) —,,,,ацтек,,,,,,,,,,,,
246,17.08.2025 21:28:40 UTC-05:00,https://t.me/mayaismagic/246,Tikal National Park Guatemala 🇬🇹,,,,,,,,,,,,,,,,
